,player_name,player_age,Total_kills,Headshot_in_%,Total_deaths,Kills_deaths,Damage_in_Round,Grenade_dmg_in_Round,Maps_played,Rounds_played,Kills_in_round,Assists_in_round,Deaths_in_round,Saved_by_teammate_in_round,Saved_teammates_in_round,Rating
528,refrezh,23.0,17195,49.6,15830,1.09,75.5,3.3,912,24288,0.71,0.11,0.65,0.1,0.1,1.09
529,Lucky,19.0,7565,40.7,6846,1.11,71.8,2.9,402,10843,0.7,0.09,0.63,0.09,0.1,1.08
530,kevz,23.0,1271,39.3,1198,1.06,77.3,3.8,73,1795,0.71,0.14,0.67,0.06,0.09,1.06
531,EYELESS,30.0,537,39.5,486,1.1,72.4,4.6,28,732,0.73,0.15,0.66,0.07,0.15,1.05
532,Temperature,22.0,2210,53.3,2101,1.05,78.8,4.2,118,3034,0.73,0.13,0.69,0.09,0.12,1.08
533,wAti,21.0,1036,46.6,975,1.06,78.8,5.1,54,1413,0.73,0.12,0.69,0.1,0.13,1.09
534,Andru,27.0,1332,34.1,1220,1.09,72.4,3.5,71,1912,0.7,0.1,0.64,0.07,0.07,1.06
535,JW,26.0,36334,36.7,33930,1.07,75.8,4.0,1899,49846,0.73,0.14,0.68,0.08,0.08,1.05
536,lan,20.0,5201,42.0,4895,1.06,76.8,2.7,272,7062,0.74,0.1,0.69,0.09,0.09,1.1
537,KEi,20.0,12363,46.7,11777,1.05,82.8,4.8,620,16699,0.74,0.15,0.71,0.09,0.09,1.12
538,Domsterr,26.0,4748,53.7,4309,1.1,75.2,3.7,274,6833,0.69,0.13,0.63,0.1,0.1,1.05
539,JustnatioN,23.0,1137,50.1,1074,1.06,77.3,3.9,58,1572,0.72,0.14,0.68,0.12,0.11,1.13
540,GAME,27.0,954,36.3,889,1.07,72.7,2.2,51,1340,0.71,0.09,0.66,0.11,0.1,1.06
541,CacaNito,21.0,1772,45.4,1685,1.05,81.0,5.1,90,2441,0.73,0.14,0.69,0.09,0.1,1.1
542,pengnax,21.0,430,53.0,397,1.08,75.7,3.3,23,602,0.71,0.11,0.66,0.1,0.12,1.1
543,BALEROSTYLE,27.0,671,48.0,639,1.05,83.8,4.5,35,890,0.75,0.14,0.72,0.1,0.12,1.12
544,Sys,27.0,6017,37.4,5582,1.08,79.5,1.7,324,8237,0.73,0.15,0.68,0.11,0.11,1.05
545,desh,22.0,2351,33.1,2191,1.07,72.2,3.4,126,3313,0.71,0.1,0.66,0.09,0.09,1.06
546,yay,23.0,12452,46.7,11848,1.05,77.6,3.4,653,17182,0.72,0.13,0.69,0.1,0.11,1.05
547,Kheops,28.0,1540,54.6,1456,1.06,76.5,3.3,79,2134,0.72,0.13,0.68,0.1,0.12,1.08
548,3ARK00Z,23.0,3266,53.0,3122,1.05,83.1,3.3,169,4387,0.74,0.14,0.71,0.11,0.11,1.12
549,ckf,26.0,696,56.2,649,1.07,78.0,3.5,40,969,0.72,0.14,0.67,0.13,0.1,1.12
550,Garflex,22.0,480,39.0,441,1.09,78.8,2.9,25,636,0.75,0.09,0.69,0.08,0.1,1.11
553,Aerial,28.0,17286,41.5,16100,1.07,78.6,2.6,909,24089,0.72,0.15,0.67,0.11,0.11,1.11
554,WolfY,23.0,8552,35.4,7689,1.11,72.2,3.1,463,12243,0.7,0.1,0.63,0.1,0.11,1.09
555,Beastman,22.0,494,47.6,484,1.02,79.0,5.2,26,671,0.74,0.13,0.72,0.1,0.13,1.06
556,AB,21.0,558,43.9,537,1.04,82.3,3.3,29,730,0.76,0.12,0.74,0.13,0.14,1.09
557,Frip,18.0,921,43.6,874,1.05,82.4,3.9,47,1245,0.74,0.16,0.7,0.1,0.14,1.11
